t,action,vx,vy,vz,x,y,z,collided
51.49,hover,0.0,0.0,0.0,62.37947463989258,-0.10752463340759277,-7.620063304901123,0
52.03,left,2.0,1.5,0.0,62.65749740600586,0.0869707316160202,-7.706344127655029,0
52.56,left,2.0,1.5,0.0,63.25657272338867,0.5272060036659241,-7.784730911254883,0
53.1,ascend,0.0,0.0,-1.0,63.90314865112305,1.0069706439971924,-8.257975578308105,0
53.64,ascend,0.0,0.0,-1.0,64.26337432861328,1.2762947082519531,-8.857176780700684,0
54.17,right,2.0,-1.5,0.0,64.577880859375,1.3279443979263306,-9.122627258300781,0
54.71,hover,0.0,0.0,0.0,65.03746795654297,1.1347968578338623,-9.136602401733398,0
55.24,hover,0.0,0.0,0.0,65.31251525878906,1.0012611150741577,-9.14654541015625,0
55.78,descend,0.0,0.0,1.0,65.46533966064453,0.925725519657135,-8.736475944519043,0
56.32,left,2.0,1.5,0.0,65.72481536865234,1.0344444513320923,-8.690062522888184,0
56.86,hover,0.0,0.0,0.0,66.18411254882812,1.3388077020645142,-8.750014305114746,0
57.37,right,2.0,-1.5,0.0,66.60735321044922,1.4037588834762573,-8.91086483001709,0
57.88,forward,3.0,0.0,0.0,67.35152435302734,1.195618987083435,-9.049467086791992,0
58.39,left,2.0,1.5,0.0,68.38693237304688,1.1648818254470825,-9.163150787353516,0
58.89,forward,3.0,0.0,0.0,69.50357818603516,1.3813395500183105,-9.193469047546387,0
59.39,right,2.0,-1.5,0.0,70.71875762939453,1.4117741584777832,-9.297418594360352,0
59.9,ascend,0.0,0.0,-1.0,71.6491470336914,1.1662108898162842,-9.841338157653809,0
60.4,right,2.0,-1.5,0.0,72.28466033935547,0.9110380411148071,-10.076732635498047,0
60.91,forward,3.0,0.0,0.0,73.12808227539062,0.5613569021224976,-10.130232810974121,0
61.41,left,2.0,1.5,0.0,74.21307373046875,0.4699714779853821,-10.238321304321289,0
61.92,descend,0.0,0.0,1.0,75.17369079589844,0.645137369632721,-9.976189613342285,0
62.42,hover,0.0,0.0,0.0,75.65303802490234,0.7593539953231812,-9.943305015563965,0
62.92,right,2.0,-1.5,0.0,76.02545166015625,0.6971195936203003,-10.052982330322266,0
63.43,left,2.0,1.5,0.0,76.67013549804688,0.5439254641532898,-10.182809829711914,0
63.93,hover,0.0,0.0,0.0,77.3545150756836,0.6637370586395264,-10.247450828552246,0
64.44,ascend,0.0,0.0,-1.0,77.6983642578125,0.753349781036377,-10.716753959655762,0
64.94,ascend,0.0,0.0,-1.0,77.85786437988281,0.7975905537605286,-11.251188278198242,0
65.44,hover,0.0,0.0,0.0,77.94375610351562,0.8216387629508972,-11.359152793884277,0
65.95,ascend,0.0,0.0,-1.0,77.98246002197266,0.8324918746948242,-11.763087272644043,0
66.45,left,2.0,1.5,0.0,78.12812805175781,0.9326023459434509,-12.017271041870117,0
66.96,right,2.0,-1.5,0.0,78.65817260742188,1.09575355052948,-12.164817810058594,0
67.46,left,2.0,1.5,0.0,79.43050384521484,1.0935616493225098,-12.229071617126465,0
67.97,left,2.0,1.5,0.0,80.32347106933594,1.4016033411026,-12.283537864685059,0
68.47,hover,0.0,0.0,0.0,81.1174087524414,1.8235955238342285,-12.374488830566406,0
68.97,descend,0.0,0.0,1.0,81.60143280029297,2.0981106758117676,-12.061359405517578,0
69.48,descend,0.0,0.0,1.0,81.8558120727539,2.244093656539917,-11.546710968017578,0
69.98,right,2.0,-1.5,0.0,82.15269470214844,2.163402557373047,-11.521671295166016,0
70.49,hover,0.0,0.0,0.0,82.626708984375,1.8711200952529907,-11.590089797973633,0
70.99,descend,0.0,0.0,1.0,82.9398193359375,1.6694104671478271,-11.239163398742676,0
71.49,ascend,0.0,0.0,-1.0,83.0778579711914,1.5797569751739502,-11.438688278198242,0
72.0,descend,0.0,0.0,1.0,83.14229583740234,1.5378071069717407,-11.471278190612793,0
72.5,ascend,0.0,0.0,-1.0,83.1740493774414,1.5171488523483276,-11.597015380859375,0
73.01,right,2.0,-1.5,0.0,83.31487274169922,1.4132212400436401,-11.871779441833496,0
73.51,left,2.0,1.5,0.0,83.84280395507812,1.24788498878479,-12.032681465148926,0
74.02,left,2.0,1.5,0.0,84.61784362792969,1.473017692565918,-12.135762214660645,0
74.52,descend,0.0,0.0,1.0,85.38511657714844,1.8543624877929688,-11.821722984313965,0
75.02,ascend,0.0,0.0,-1.0,85.7566909790039,2.0529186725616455,-12.06126594543457,0
75.53,forward,3.0,0.0,0.0,86.11353302001953,2.1441519260406494,-12.402067184448242,0
76.03,forward,3.0,0.0,0.0,86.96880340576172,2.1900296211242676,-12.560628890991211,0
76.54,forward,3.0,0.0,0.0,88.14722442626953,2.2124500274658203,-12.60538101196289,0
77.04,left,2.0,1.5,0.0,89.41612243652344,2.33555006980896,-12.669058799743652,0
77.55,hover,0.0,0.0,0.0,90.40960693359375,2.6381990909576416,-12.83906078338623,0
